X,Y,fid,id,@id,description,fixme,height,highway,lamp_model,lamp_mount,lamp_type,leaf_type,level,light:count,light:lit,light:power,light:tilt,man_made,operator,source,support,tower:type,Z_1
73588.3041418544,75428.8492600155,6797,node/10151504707,node/10151504707,,,,street_lamp,,,,,,,,,,,,,pole,,299.267517089844
73565.3868742803,75459.1841985817,6798,node/10151504708,node/10151504708,,,,street_lamp,,,,,,,,,,,,,pole,,298.852508544922
73535.5783284321,75479.7063932893,6799,node/10151504709,node/10151504709,,,,street_lamp,,,,,,,,,,,,,pole,,297.625
73524.2970547872,75485.7479450836,6800,node/10151504710,node/10151504710,,,,street_lamp,,,,,,,,,,,,,pole,,297.994995117188
73470.5254454098,75592.0958790065,6801,node/10151504711,node/10151504711,,,,street_lamp,,,,,,,,,,,,,pole,,303.242492675781
73465.6330469936,75537.5247938371,6802,node/10151504712,node/10151504712,,,,street_lamp,,,,,,,,,,,,,pole,,298.517486572266
73385.3439366399,75508.1580751868,6803,node/10151504713,node/10151504713,,,,street_lamp,,,,,,,,,,,,,pole,,296.704986572266
73399.6536526084,75520.6422687175,6804,node/10151504714,node/10151504714,,,,street_lamp,,,,,,,,,,,,,pole,,296.489990234375
73413.6079219343,75532.0703121959,6805,node/10151504715,node/10151504715,,,,street_lamp,,,,,,,,,,,,,pole,,296.959991455078
73428.7776845368,75544.7092625736,6806,node/10151504716,node/10151504716,,,,street_lamp,,,,,,,,,,,,,pole,,297.617492675781
73478.1775665328,75493.8995229382,6807,node/10151514417,node/10151514417,,,,street_lamp,,,,,,,,,,,,,pole,,298.127502441406
73442.1017753072,75536.8743884549,6808,node/10151514418,node/10151514418,,,,street_lamp,,,,,,,,,,,,,pole,,297.797485351562
73448.5667181944,75528.2580463921,6809,node/10151514419,node/10151514419,,,,street_lamp,,,,,,,,,,,,,pole,,298.022491455078
73464.6627364064,75535.9132216635,6810,node/10151514420,node/10151514420,,,,street_lamp,,,,,,,,,,,,,pole,,298.517517089844
73461.4944314498,75515.2184781566,6811,node/10151514421,node/10151514421,,,,street_lamp,,,,,,,,,,,,,pole,,298.652526855469
73476.2511034887,75520.8510323182,6812,node/10151514422,node/10151514422,,,,street_lamp,,,,,,,,,,,,,pole,,306.834991455078
73485.0711305228,75511.4422566885,6813,node/10151514423,node/10151514423,,,,street_lamp,,,,,,,,,,,,,pole,,301.364990234375
73505.8072263853,75495.0346158634,6814,node/10151514424,node/10151514424,,,,street_lamp,,,,,,,,,,,,,pole,,298.614990234375
73495.2357901201,75502.376692553,6815,node/10151514425,node/10151514425,,,,street_lamp,,,,,,,,,,,,,pole,,301.177490234375
73498.3765034674,75493.764348996,6816,node/10151514426,node/10151514426,,,,street_lamp,,,,,,,,,,,,,pole,,300.385009765625
73490.5999051109,75487.2559208554,6817,node/10151514427,node/10151514427,,,,street_lamp,,,,,,,,,,,,,pole,,300.947509765625
73480.4316148379,75481.106254899,6818,node/10151514428,node/10151514428,,,,street_lamp,,,,,,,,,,,,,pole,,297.930023193359
73445.4193725348,75428.3061103098,6819,node/10151514429,node/10151514429,,,,street_lamp,,,,,,,,,,,,,pole,,296.114990234375
73445.0491165946,75439.0061593793,6820,node/10151514430,node/10151514430,,,,street_lamp,,,,,,,,,,,,,pole,,296.450012207031
73463.691570106,75448.5824418964,6821,node/10151514431,node/10151514431,,,,street_lamp,,,,,,,,,,,,,pole,,296.837493896484
73459.0734565139,75454.5605905536,6822,node/10151514432,node/10151514432,,,,street_lamp,,,,,,,,,,,,,pole,,296.964996337891
73475.4733940234,75468.4550193769,6823,node/10151514433,node/10151514433,,,,street_lamp,,,,,,,,,,,,,pole,,297.579986572266
73481.5934547657,75461.418487485,6824,node/10151514434,node/10151514434,,,,street_lamp,,,,,,,,,,,,,pole,,297.464996337891
73492.0040997243,75476.8994387071,6825,node/10151514435,node/10151514435,,,,street_lamp,,,,,,,,,,,,,pole,,297.964996337891
73499.1550106777,75467.6594988625,6826,node/10151514436,node/10151514436,,,,street_lamp,,,,,,,,,,,,,pole,,297.915008544922
73500.8349285622,75458.2147177069,6827,node/10151514437,node/10151514437,,,,street_lamp,,,,,,,,,,,,,pole,,297.782501220703
73511.615867783,75444.6105768242,6828,node/10151514438,node/10151514438,,,,street_lamp,,,,,,,,,,,,,pole,,297.112487792969
73521.7755277147,75431.1629020701,6829,node/10151514439,node/10151514439,,,,street_lamp,,,,,,,,,,,,,pole,,297.180023193359
73524.5779847138,75411.4175994495,6830,node/10151514440,node/10151514440,,,,street_lamp,,,,,,,,,,,,,pole,,297.537506103516
73518.7547653702,75394.5075234397,6831,node/10151514441,node/10151514441,,,,street_lamp,,,,,,,,,,,,,pole,,297.010009765625
73505.0120926977,75384.8918890066,6832,node/10151514442,node/10151514442,,,,street_lamp,,,,,,,,,,,,,pole,,296.880004882812
75662.8298790556,71387.8930102575,6858,node/10685208452,node/10685208452,,,,street_lamp,,,,,,,,,,,,,,,304.077484130859
75542.3571173853,71445.6239958431,6859,node/10685208456,node/10685208456,,,,street_lamp,,,,,,,,,,,,,,,301.472503662109
75606.7494797504,71468.4952246589,6860,node/10685208457,node/10685208457,,,,street_lamp,,,,,,,,,,,,,,,300.767486572266
